Fecha,MATERIAL,Cantidad,VENDEDOR,Día de la Semana,Mes,Año,Estación,Ventas Diarias,Lag_1,Lag_2,Lag_3
2023-01-02,10901 CAM 70 NEGRO,2.0,VENTAS RESTREPO,Monday,1,2023,Invierno,2.0,105018.0,105018.0,105018.0
2023-01-03,10901 CAM 70 NEGRO,50.0,VENTAS RESTREPO,Tuesday,1,2023,Invierno,5050.0,2.0,105018.0,105018.0
2023-01-03,10901 CAM 70 NEGRO,50.0,VENTAS RESTREPO,Tuesday,1,2023,Invierno,5050.0,5050.0,2.0,105018.0
2023-01-03,310101 FLEECE NEGRO,20.0,VENTAS RESTREPO,Tuesday,1,2023,Invierno,20.0,2303.0,2303.0,2303.0
2023-01-03,620101 MALLA SANDWICH NEGRA,,VENTAS RESTREPO,Tuesday,1,2023,Invierno,,,,
2023-01-04,10901 CAM 70 NEGRO,400.0,VENTAS RESTREPO,Wednesday,1,2023,Invierno,400200.0,5050.0,5050.0,2.0
2023-01-04,10901 CAM 70 NEGRO,200.0,VENTAS RESTREPO,Wednesday,1,2023,Invierno,400200.0,400200.0,5050.0,5050.0
2023-01-04,130103 CAM 120 NEGRO,5.0,VENTAS RESTREPO,Wednesday,1,2023,Invierno,5.0,20.0,,
2023-01-04,130118 CAM 150 NEGRO,,VENTAS RESTREPO,Wednesday,1,2023,Invierno,,10.0,16.0,2.0
2023-01-04,130118 CAM 150 NEGRO,,VENTAS RESTREPO,Wednesday,1,2023,Invierno,,,10.0,16.0
2023-01-04,620125 MALLA SANDWICH COLMENA,1.0,VENTAS RESTREPO,Wednesday,1,2023,Invierno,41.0,41.0,51.0,51.0
2023-01-05,10901 CAM 70 NEGRO,230.0,VENTAS RESTREPO,Thursday,1,2023,Invierno,2306.0,400200.0,400200.0,5050.0
2023-01-05,10901 CAM 70 NEGRO,6.0,VENTAS RESTREPO,Thursday,1,2023,Invierno,2306.0,2306.0,400200.0,400200.0
2023-01-05,130103 CAM 120 NEGRO,200.0,VENTAS RESTREPO,Thursday,1,2023,Invierno,200.0,5.0,20.0,
2023-01-05,310101 FLEECE NEGRO,1.0,VENTAS RESTREPO,Thursday,1,2023,Invierno,1.0,20.0,2303.0,2303.0
2023-01-05,310131 FLEECE LILA,,VENTAS RESTREPO,Thursday,1,2023,Invierno,,,,
2023-01-05,620104 MALLA SANDWICH AZUL OSCURA,3.0,VENTAS RESTREPO,Thursday,1,2023,Invierno,103.0,103.0,10.0,11.0
2023-01-05,620125 MALLA SANDWICH COLMENA,50.0,VENTAS RESTREPO,Thursday,1,2023,Invierno,501.0,41.0,41.0,51.0
2023-01-05,620125 MALLA SANDWICH COLMENA,1.0,VENTAS RESTREPO,Thursday,1,2023,Invierno,501.0,501.0,41.0,41.0
2023-01-06,130118 CAM 150 NEGRO,4.0,VENTAS RESTREPO,Friday,1,2023,Invierno,4.0,,,10.0
2023-01-06,310101 FLEECE NEGRO,3.0,VENTAS RESTREPO,Friday,1,2023,Invierno,3.0,1.0,20.0,2303.0
2023-01-06,620101 MALLA SANDWICH NEGRA,,VENTAS RESTREPO,Friday,1,2023,Invierno,,,,
2023-01-06,620125 MALLA SANDWICH COLMENA,2.0,VENTAS RESTREPO,Friday,1,2023,Invierno,2.0,501.0,501.0,41.0
2023-01-07,10901 CAM 70 NEGRO,1.0,VENTAS RESTREPO,Saturday,1,2023,Invierno,12.0,2306.0,2306.0,400200.0
2023-01-07,10901 CAM 70 NEGRO,2.0,VENTAS RESTREPO,Saturday,1,2023,Invierno,12.0,12.0,2306.0,2306.0
2023-01-07,310101 FLEECE NEGRO,30.0,VENTAS RESTREPO,Saturday,1,2023,Invierno,30.0,3.0,1.0,20.0
2023-01-07,620104 MALLA SANDWICH AZUL OSCURA,10.0,VENTAS RESTREPO,Saturday,1,2023,Invierno,10.0,103.0,103.0,10.0
2023-01-07,620125 MALLA SANDWICH COLMENA,2.0,VENTAS RESTREPO,Saturday,1,2023,Invierno,2.0,2.0,501.0,501.0
2023-01-10,10901 CAM 70 NEGRO,600.0,VENTAS RESTREPO,Tuesday,1,2023,Invierno,600.0,12.0,12.0,2306.0
2023-01-10,11201 CAM 70 ROJO,40.0,VENTAS RESTREPO,Tuesday,1,2023,Invierno,4035.0,22.0,22.0,100.0
2023-01-10,11201 CAM 70 ROJO,35.0,VENTAS RESTREPO,Tuesday,1,2023,Invierno,4035.0,4035.0,22.0,22.0
2023-01-10,130103 CAM 120 NEGRO,16.0,VENTAS RESTREPO,Tuesday,1,2023,Invierno,16.0,200.0,5.0,20.0
2023-01-10,130118 CAM 150 NEGRO,10.0,VENTAS RESTREPO,Tuesday,1,2023,Invierno,10.0,4.0,,
2023-01-10,20403 CAM 100 BEIGE HUESO,2.0,VENTAS RESTREPO,Tuesday,1,2023,Invierno,2.0,1.0,20.0,50.0
2023-01-10,310101 FLEECE NEGRO,,VENTAS RESTREPO,Tuesday,1,2023,Invierno,,30.0,3.0,1.0
2023-01-10,310110 FLEECE NARANJA,1.0,VENTAS RESTREPO,Tuesday,1,2023,Invierno,1.0,,,3.0
2023-01-10,310111 FLEECE AMARILLO,1.0,VENTAS RESTREPO,Tuesday,1,2023,Invierno,1.0,34.0,34.0,3.0
2023-01-10,310120 FLEECE IS OSCURO,1.0,VENTAS RESTREPO,Tuesday,1,2023,Invierno,1.0,2.0,,
2023-01-10,310131 FLEECE LILA,3.0,VENTAS RESTREPO,Tuesday,1,2023,Invierno,3.0,,,
2023-01-11,10203 CAM 70 AZUL REY,26.0,VENTAS RESTREPO,Wednesday,1,2023,Invierno,,40.0,200.0,0.0
2023-01-11,10203 CAM 70 AZUL REY,,VENTAS RESTREPO,Wednesday,1,2023,Invierno,,,40.0,200.0
