VENDEDOR,MATERIAL,Fecha,Documento,Cantidad,Total_Ingresos,Precio Promedio,Precio iva incluido,NOTA ,
VENTAS RESTREPO,10201 CAM 70 AZUL ACUEDUCTO,01/01/2023,FV FVR 13108,10,"14.705,88","1.470,59",17500,,
VENTAS RESTREPO,10301 CAM 70 BLANCO,01/01/2023,FV FVR 13136,30,"42.857,14","1.428,57",51000,,
VENTAS RESTREPO,10901 CAM 70 NEGRO,01/01/2023,FV FVR 13107,10,"14.705,88","1.470,59",17500,,
VENTAS RESTREPO,10901 CAM 70 NEGRO,01/01/2023,FV FVR 13116,50,"67.226,89","1.344,54",80000,,
VENTAS RESTREPO,10901 CAM 70 NEGRO,01/01/2023,FV FVR 13139,18,"26.470,59","1.470,59",31500,,
VENTAS RESTREPO,11303 CAM 70 VERDE JADE,01/01/2023,FV FVR 13114,10,"14.705,88","1.470,59",17500,,
VENTAS RESTREPO,120101 P.CONEJO NEGRO,01/01/2023,FV FVR 13133,"0,5","5.252,10","10.504,20",6250,,
VENTAS RESTREPO,120106 P.CONEJO ROJO,01/01/2023,FV FVR 13109,1,"10.504,20","10.504,20",12500,,
VENTAS RESTREPO,120123 P.CONEJO BEIGE,01/01/2023,FV FVR 13127,"0,5","5.252,10","10.504,20",6250,,
VENTAS RESTREPO,120260 P.CONEJO HOMBRE ARAÑA,01/01/2023,FV FVR 13148,1,"10.504,20","10.504,20",12500,,
VENTAS RESTREPO,130103 CAM 120 NEGRO,01/01/2023,FV FVR 13115,5,"13.025,21","2.605,04",15500,,
VENTAS RESTREPO,130103 CAM 120 NEGRO,01/01/2023,FV FVR 13124,"1,5","3.907,56","2.605,04",4650,,
VENTAS RESTREPO,130118 CAM 150 NEGRO,01/01/2023,FV FVR 13119,2,"6.470,59","3.235,29",7700,,
VENTAS RESTREPO,140101 CAM 50 BLANCO,01/01/2023,FV FVR 13113,70,"79.411,76","1.134,45",94500,,
VENTAS RESTREPO,20301 CAM 100 BLANCO,01/01/2023,FV FVR 13140,2,"4.369,75","2.184,87",5200,,
VENTAS RESTREPO,20403 CAM 100 BEIGE HUESO,01/01/2023,FV FVR 13137,50,"105.042,02","2.100,84",125000,,
